track_id,title,artist,namespace,tag_slug,tag_label,confidence,source,locked,created_at
82745fe4c16420d0b9fb92d3673f0a9ca41fec2e73f57eaad5d4eaa013364317,Escapism.,070 Shake;RAYE,context,playlist-continue-good,Playlist Continue,0.7,heuristic,false,2026-07-06T04:58:14.181071+00:00
82745fe4c16420d0b9fb92d3673f0a9ca41fec2e73f57eaad5d4eaa013364317,Escapism.,070 Shake;RAYE,context,homepage-safe,Homepage Safe,0.68,heuristic,false,2026-07-06T04:58:14.181071+00:00
82745fe4c16420d0b9fb92d3673f0a9ca41fec2e73f57eaad5d4eaa013364317,Escapism.,070 Shake;RAYE,context,transition-safe,Transition Safe,0.58,heuristic,false,2026-07-06T04:58:14.181071+00:00
82745fe4c16420d0b9fb92d3673f0a9ca41fec2e73f57eaad5d4eaa013364317,Escapism.,070 Shake;RAYE,genre,pop,Pop,0.85,heuristic,false,2026-07-06T04:58:14.181071+00:00
82745fe4c16420d0b9fb92d3673f0a9ca41fec2e73f57eaad5d4eaa013364317,Escapism.,070 Shake;RAYE,genre,dance-pop,Dance Pop,0.82,heuristic,false,2026-07-06T04:58:14.181071+00:00
82745fe4c16420d0b9fb92d3673f0a9ca41fec2e73f57eaad5d4eaa013364317,Escapism.,070 Shake;RAYE,language,lang-en,English,0.8,heuristic,false,2026-07-06T04:58:14.181071+00:00
82745fe4c16420d0b9fb92d3673f0a9ca41fec2e73f57eaad5d4eaa013364317,Escapism.,070 Shake;RAYE,quality,duplicate,Duplicate,0.95,heuristic,false,2026-07-06T06:01:11.738295+00:00
82745fe4c16420d0b9fb92d3673f0a9ca41fec2e73f57eaad5d4eaa013364317,Escapism.,070 Shake;RAYE,quality,high-compressed,High Compressed,0.85,heuristic,false,2026-07-06T04:58:14.181071+00:00
82745fe4c16420d0b9fb92d3673f0a9ca41fec2e73f57eaad5d4eaa013364317,Escapism.,070 Shake;RAYE,version,original,Original,0.7,heuristic,false,2026-07-06T04:58:14.181071+00:00
82745fe4c16420d0b9fb92d3673f0a9ca41fec2e73f57eaad5d4eaa013364317,Escapism.,070 Shake;RAYE,vibe,dramatic,Dramatic,0.78,heuristic,false,2026-07-06T04:58:14.181071+00:00
82745fe4c16420d0b9fb92d3673f0a9ca41fec2e73f57eaad5d4eaa013364317,Escapism.,070 Shake;RAYE,vibe,club,Club,0.75,heuristic,false,2026-07-06T04:58:14.181071+00:00
82745fe4c16420d0b9fb92d3673f0a9ca41fec2e73f57eaad5d4eaa013364317,Escapism.,070 Shake;RAYE,vibe,confident,Confident,0.7,heuristic,false,2026-07-06T04:58:14.181071+00:00
687d1f57eb4d6af71eb95bc0cddf9100d37b1350c899467048bab35b801e2b4f,怪美的,蔡依林,context,party,Party,0.71,llm,false,2026-07-06T05:38:59.026685+00:00
687d1f57eb4d6af71eb95bc0cddf9100d37b1350c899467048bab35b801e2b4f,怪美的,蔡依林,context,playlist-continue-good,Playlist Continue,0.71,llm,false,2026-07-06T05:38:59.026685+00:00
687d1f57eb4d6af71eb95bc0cddf9100d37b1350c899467048bab35b801e2b4f,怪美的,蔡依林,context,transition-safe,Transition Safe,0.58,llm,false,2026-07-06T05:38:59.026685+00:00
687d1f57eb4d6af71eb95bc0cddf9100d37b1350c899467048bab35b801e2b4f,怪美的,蔡依林,genre,c-pop,C-Pop,0.75,llm,false,2026-07-06T05:38:59.026685+00:00
687d1f57eb4d6af71eb95bc0cddf9100d37b1350c899467048bab35b801e2b4f,怪美的,蔡依林,genre,mandopop,Mandopop,0.75,llm,false,2026-07-06T05:38:59.026685+00:00
687d1f57eb4d6af71eb95bc0cddf9100d37b1350c899467048bab35b801e2b4f,怪美的,蔡依林,language,lang-zh,Chinese,0.7,llm,false,2026-07-06T05:38:59.026685+00:00
687d1f57eb4d6af71eb95bc0cddf9100d37b1350c899467048bab35b801e2b4f,怪美的,蔡依林,quality,duplicate,Duplicate,0.95,heuristic,false,2026-07-06T06:01:17.634758+00:00
687d1f57eb4d6af71eb95bc0cddf9100d37b1350c899467048bab35b801e2b4f,怪美的,蔡依林,quality,high-compressed,High Compressed,0.85,heuristic,false,2026-07-06T05:38:59.026685+00:00
687d1f57eb4d6af71eb95bc0cddf9100d37b1350c899467048bab35b801e2b4f,怪美的,蔡依林,version,original,Original,0.7,heuristic,false,2026-07-06T05:38:59.026685+00:00
687d1f57eb4d6af71eb95bc0cddf9100d37b1350c899467048bab35b801e2b4f,怪美的,蔡依林,vibe,baddie,Baddie,0.73,llm,false,2026-07-06T05:38:59.026685+00:00
687d1f57eb4d6af71eb95bc0cddf9100d37b1350c899467048bab35b801e2b4f,怪美的,蔡依林,vibe,confident,Confident,0.73,llm,false,2026-07-06T05:38:59.026685+00:00
8c1fcd974837738c30fcf2a23c5b3f8389a1c5236a926192a34e699d2abad4c6,玫瑰少年,蔡依林,context,playlist-continue-good,Playlist Continue,0.62,llm,false,2026-07-06T05:07:03.018403+00:00
8c1fcd974837738c30fcf2a23c5b3f8389a1c5236a926192a34e699d2abad4c6,玫瑰少年,蔡依林,context,transition-safe,Transition Safe,0.58,llm,false,2026-07-06T05:07:03.018403+00:00
