track_id,user_id,title,artist,album,duration_sec,storage_path,file_size_mb,codec,bitrate_kbps,sample_rate,source_quality,tagging_status,tag_confidence_avg,language,release_year,isrc,musicbrainz_recording_id,acoustid,created_at,updated_at,genre_tags,vibe_tags,context_tags,version_tags,quality_tags,language_tags,all_tags,bpm,musical_key,loudness_lufs,energy,danceability,valence,acousticness,instrumentalness,vocal_presence,intro_length_sec,outro_fade,play_count,complete_count,skip_count,like_count,last_played_at,recommendation_notes,needs_review_flag,issue_flags,suggested_review_reason
82745fe4c16420d0b9fb92d3673f0a9ca41fec2e73f57eaad5d4eaa013364317,c2831538-94b0-4a57-b034-5e873a53c42e,Escapism.,070 Shake;RAYE,Escapism.,272.4,c2831538-94b0-4a57-b034-5e873a53c42e/82745fe4c16420d0b9fb92d3673f0a9ca41fec2e73f57eaad5d4eaa013364317.mp3,10.46,mp3,320,44100,high-compressed,ready,0.746,,,,,,2026-07-06T04:55:42.990472+00:00,2026-07-06T06:17:44.673853+00:00,pop(0.85/heuristic); dance-pop(0.82/heuristic),dramatic(0.78/heuristic); club(0.75/heuristic); confident(0.70/heuristic),playlist-continue-good(0.70/heuristic); homepage-safe(0.68/heuristic); transition-safe(0.58/heuristic),original(0.70/heuristic),high-compressed(0.85/heuristic),lang-en(0.80/heuristic),pop(0.85/heuristic); high-compressed(0.85/heuristic); dance-pop(0.82/heuristic); lang-en(0.80/heuristic); dramatic(0.78/heuristic); club(0.75/heuristic); confident(0.70/heuristic); playlist-continue-good(0.70/heuristic); original(0.70/heuristic); homepage-safe(0.68/heuristic); transition-safe(0.58/heuristic),,,,5,5,4,,,4,,,0,0,0,0,,,no,missing_bpm; embedding_missing; duplicate_suspect,BPM not analyzed.
687d1f57eb4d6af71eb95bc0cddf9100d37b1350c899467048bab35b801e2b4f,c2831538-94b0-4a57-b034-5e873a53c42e,怪美的,蔡依林,Ugly Beauty,182.4,c2831538-94b0-4a57-b034-5e873a53c42e/687d1f57eb4d6af71eb95bc0cddf9100d37b1350c899467048bab35b801e2b4f.mp3,7.01,mp3,320,48000,high-compressed,ready,0.721,,,,,,2026-07-06T04:54:31.253535+00:00,2026-07-06T06:17:56.821085+00:00,c-pop(0.75/llm); mandopop(0.75/llm),baddie(0.73/llm); confident(0.73/llm),party(0.71/llm); playlist-continue-good(0.71/llm); transition-safe(0.58/llm),original(0.70/heuristic),high-compressed(0.85/heuristic),lang-zh(0.70/llm),high-compressed(0.85/heuristic); c-pop(0.75/llm); mandopop(0.75/llm); baddie(0.73/llm); confident(0.73/llm); party(0.71/llm); playlist-continue-good(0.71/llm); original(0.70/heuristic); lang-zh(0.70/llm); transition-safe(0.58/llm),,,,4,3,3,,,4,,,0,0,0,0,,,no,missing_bpm; embedding_missing,BPM not analyzed.
8c1fcd974837738c30fcf2a23c5b3f8389a1c5236a926192a34e699d2abad4c6,c2831538-94b0-4a57-b034-5e873a53c42e,玫瑰少年,蔡依林,Ugly Beauty,191.7,c2831538-94b0-4a57-b034-5e873a53c42e/8c1fcd974837738c30fcf2a23c5b3f8389a1c5236a926192a34e699d2abad4c6.mp3,7.37,mp3,320,44100,high-compressed,ready,0.622,,,,,,2026-07-06T04:54:26.186006+00:00,2026-07-06T06:17:52.635276+00:00,c-pop(0.60/llm); mandopop(0.60/llm),dramatic(0.58/llm); confident(0.58/llm),playlist-continue-good(0.62/llm); transition-safe(0.58/llm); background(0.56/llm),original(0.70/heuristic),high-compressed(0.85/heuristic),lang-zh(0.55/llm),high-compressed(0.85/heuristic); original(0.70/heuristic); playlist-continue-good(0.62/llm); c-pop(0.60/llm); mandopop(0.60/llm); dramatic(0.58/llm); confident(0.58/llm); transition-safe(0.58/llm); background(0.56/llm); lang-zh(0.55/llm),,,,3,2,3,,,4,,,0,0,0,0,,,no,missing_bpm; low_confidence_tags; embedding_missing,BPM not analyzed. Average tag confidence below threshold.
9dc2cebc8bbd98e7fbf9b1a129f733532bb75fc498dc1ed0857bd7c1fe895137,c2831538-94b0-4a57-b034-5e873a53c42e,美杜莎,蔡依林,呸,244.6,c2831538-94b0-4a57-b034-5e873a53c42e/9dc2cebc8bbd98e7fbf9b1a129f733532bb75fc498dc1ed0857bd7c1fe895137.mp3,9.39,mp3,320,44100,high-compressed,ready,0.686,,,,,,2026-07-06T04:54:25.573416+00:00,2026-07-06T06:17:47.090508+00:00,c-pop(0.70/llm); mandopop(0.70/llm),baddie(0.68/llm); confident(0.68/llm),party(0.66/llm); playlist-continue-good(0.66/llm); transition-safe(0.58/llm),original(0.70/heuristic),high-compressed(0.85/heuristic),lang-zh(0.65/llm),high-compressed(0.85/heuristic); original(0.70/heuristic); c-pop(0.70/llm); mandopop(0.70/llm); baddie(0.68/llm); confident(0.68/llm); party(0.66/llm); playlist-continue-good(0.66/llm); lang-zh(0.65/llm); transition-safe(0.58/llm),,,,4,4,4,,,4,,,5,0,0,0,,,no,missing_bpm; embedding_missing,BPM not analyzed.
154a942a279ee919fda6f7344f2b9bb9d2d4fd72b5e6224baa12ef0c8b3b8633,c2831538-94b0-4a57-b034-5e873a53c42e,美人计,蔡依林,Myself,214.9,c2831538-94b0-4a57-b034-5e873a53c42e/154a942a279ee919fda6f7344f2b9bb9d2d4fd72b5e6224baa12ef0c8b3b8633.mp3,8.25,mp3,320,44100,high-compressed,ready,0.652,,,,,,2026-07-06T04:54:26.295274+00:00,2026-07-06T06:17:43.938579+00:00,c-pop(0.65/llm); pop(0.65/llm),confident(0.63/llm); baddie(0.63/llm),playlist-continue-good(0.62/llm); party(0.61/llm); transition-safe(0.58/llm),original(0.70/heuristic),high-compressed(0.85/heuristic),lang-zh(0.60/llm),high-compressed(0.85/heuristic); original(0.70/heuristic); c-pop(0.65/llm); pop(0.65/llm); confident(0.63/llm); baddie(0.63/llm); playlist-continue-good(0.62/llm); party(0.61/llm); lang-zh(0.60/llm); transition-safe(0.58/llm),,,,4,3,3,,,4,,,2,0,0,0,,,no,missing_bpm; embedding_missing,BPM not analyzed.
89aed1a6d0c112e9196049d38fd700d4860b32bcd83272e481d4a8c99970bb96,c2831538-94b0-4a57-b034-5e873a53c42e,Pleasure,蔡依林,Pleasure,168.1,c2831538-94b0-4a57-b034-5e873a53c42e/89aed1a6d0c112e9196049d38fd700d4860b32bcd83272e481d4a8c99970bb96.mp3,6.49,mp3,320,44100,high-compressed,ready,0.71,,,,,,2026-07-06T04:54:48.99116+00:00,2026-07-06T06:18:06.661566+00:00,c-pop(0.75/llm); mandopop(0.75/llm),sexy(0.73/llm),background(0.71/llm); playlist-continue-good(0.62/llm); transition-safe(0.58/llm),original(0.70/heuristic),high-compressed(0.85/heuristic),lang-zh(0.70/llm),high-compressed(0.85/heuristic); c-pop(0.75/llm); mandopop(0.75/llm); sexy(0.73/llm); background(0.71/llm); original(0.70/heuristic); lang-zh(0.70/llm); playlist-continue-good(0.62/llm); transition-safe(0.58/llm),,,,4,3,3,,,4,,,0,0,0,0,,,no,missing_bpm; embedding_missing,BPM not analyzed.
c05668b1ee2635961847685bde22dda8969f27f3bc117ea7d262371bc5bb1dd4,c2831538-94b0-4a57-b034-5e873a53c42e,爱人错过,告五人,未知专辑,292.1,c2831538-94b0-4a57-b034-5e873a53c42e/c05668b1ee2635961847685bde22dda8969f27f3bc117ea7d262371bc5bb1dd4.mp3,11.16,mp3,320,44100,high-compressed,ready,0.622,,,,,,2026-07-06T04:54:27.479849+00:00,2026-07-06T06:18:00.217318+00:00,c-pop(0.60/llm); pop(0.60/llm),soft(0.58/llm); dramatic(0.58/llm),playlist-continue-good(0.62/llm); transition-safe(0.58/llm); background(0.56/llm),original(0.70/heuristic),high-compressed(0.85/heuristic),lang-zh(0.55/llm),high-compressed(0.85/heuristic); original(0.70/heuristic); playlist-continue-good(0.62/llm); c-pop(0.60/llm); pop(0.60/llm); soft(0.58/llm); dramatic(0.58/llm); transition-safe(0.58/llm); background(0.56/llm); lang-zh(0.55/llm),,,,3,3,3,,,4,,,2,0,0,0,,,no,missing_bpm; low_confidence_tags; embedding_missing,BPM not analyzed. Average tag confidence below threshold.
cc4b366b4b5151e1bc7c320a6c8b0fddc7fe6be36c0f35276dc1e59fdb9deb97,c2831538-94b0-4a57-b034-5e873a53c42e,悬溺,葛东琪,第二街区,197.1,c2831538-94b0-4a57-b034-5e873a53c42e/cc4b366b4b5151e1bc7c320a6c8b0fddc7fe6be36c0f35276dc1e59fdb9deb97.mp3,7.57,mp3,320,48000,high-compressed,ready,0.619,,,,,,2026-07-06T04:54:30.262353+00:00,2026-07-06T06:17:42.49189+00:00,mandopop(0.55/llm),dramatic(0.55/llm),playlist-continue-good(0.62/llm); transition-safe(0.58/llm); background(0.55/llm),original(0.70/heuristic),high-compressed(0.85/heuristic),lang-zh(0.55/llm),high-compressed(0.85/heuristic); original(0.70/heuristic); playlist-continue-good(0.62/llm); transition-safe(0.58/llm); mandopop(0.55/llm); dramatic(0.55/llm); background(0.55/llm); lang-zh(0.55/llm),,,,3,3,3,,,4,,,0,0,0,0,,,no,missing_bpm; low_confidence_tags; embedding_missing,BPM not analyzed. Average tag confidence below threshold.
b79209a0ecd7d8cac7743724eaf5145391098b2a4791c18be7e8bce5bbf12104,c2831538-94b0-4a57-b034-5e873a53c42e,凄美地,郭顶,未知专辑,250.7,c2831538-94b0-4a57-b034-5e873a53c42e/b79209a0ecd7d8cac7743724eaf5145391098b2a4791c18be7e8bce5bbf12104.mp3,9.65,mp3,320,44100,high-compressed,ready,0.656,,,,,,2026-07-06T04:54:36.919373+00:00,2026-07-06T06:18:12.41206+00:00,pop(0.58/llm),confident(0.55/llm),playlist-continue-good(0.62/llm); transition-safe(0.58/llm),,,,playlist-continue-good(0.62/llm); pop(0.58/llm); transition-safe(0.58/llm); confident(0.55/llm),,,,3,3,3,,,4,,,0,0,0,0,,,no,missing_bpm; embedding_missing,BPM not analyzed.
89aa46b21a8eea916da51e2ed8b92ba165bedfeb24ce8f86892815b0c3a9ca3b,c2831538-94b0-4a57-b034-5e873a53c42e,水星记,郭顶,未知专辑,325.3,c2831538-94b0-4a57-b034-5e873a53c42e/89aa46b21a8eea916da51e2ed8b92ba165bedfeb24ce8f86892815b0c3a9ca3b.mp3,12.46,mp3,320,44100,high-compressed,ready,0.655,,,,,,2026-07-06T04:54:29.676547+00:00,2026-07-06T06:18:53.430241+00:00,c-pop(0.65/llm),dramatic(0.63/llm),playlist-continue-good(0.62/llm); background(0.61/llm); transition-safe(0.58/llm),original(0.70/heuristic),high-compressed(0.85/heuristic),lang-zh(0.60/llm),high-compressed(0.85/heuristic); original(0.70/heuristic); c-pop(0.65/llm); dramatic(0.63/llm); playlist-continue-good(0.62/llm); background(0.61/llm); lang-zh(0.60/llm); transition-safe(0.58/llm),,,,3,3,3,,,4,,,0,0,0,0,,,no,missing_bpm; embedding_missing,BPM not analyzed.
